Geography,Car_Truck_Van_Less_Than_15,Car_Truck_Van_15_to_29,Car_Truck_Van_30_to_44,Car_Truck_Van_45_to_59,Car_Truck_Van_More_Than_60,Car_Truck_Van_Avg_Duration,Public_Transit_Less_Than_15,Public_Transit_15_to_29,Public_Transit_30_to_44,Public_Transit_45_to_59,Public_Transit_More_Than_60,Public_Transit_Avg_Duration,Active_Transportation_Less_Than_15,Active_Transportation_15_to_29,Active_Transportation_30_to_44,Active_Transportation_45_to_59,Active_Transportation_More_Than_60,Active_Transportation_Avg_Duration,Motorcycle_Scooter_Moped_Less_Than_15,Motorcycle_Scooter_Moped_15_to_29,Motorcycle_Scooter_Moped_30_to_44,Motorcycle_Scooter_Moped_45_to_59,Motorcycle_Scooter_Moped_More_Than_60,Motorcycle_Scooter_Moped_Avg_Duration,Other_Less_Than_15,Other_15_to_29,Other_30_to_44,Other_45_to_59,Other_More_Than_60,Other_Avg_Duration,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021),Province or Territory Abbreviation
Birch Cove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,45.0,48.9,0.29,232.2,Alta.
Birch Hills,50.0,65.0,30.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,1033.0,3.2,2.39,446.6,Sask.
Birch Hills County,30.0,25.0,25.0,0.0,15.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,1553.0,-2.4,2848.75,0.5,Alta.
Birch Hills No. 460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.0,656.0,0.3,547.08,1.2,Sask.
Birchcliff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,117.0,80.3,0.97,216.6,Alta.
Birchy Bay,15.0,20.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,550.0,-7.1,49.33,10.4,N.L.
Bird Cove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,179.0,-2.2,7.69,22.8,N.L.
Bird's Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,112.0,33.9,0.59,254.1,Sask.
Birdtail Creek 57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,411.0,10.0,27.88,16.2,Man.
Bishop's Cove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,287.0,-12.2,1.9,132.4,N.L.
Bishop's Falls,275.0,180.0,0.0,10.0,10.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082.0,3156.0,-2.3,26.38,116.8,N.L.
Bittern Lake,10.0,45.0,10.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,220.0,-1.8,6.57,32.9,Alta.
Bjorkdale,15.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,201.0,-26.9,1.36,108.1,Sask.
Bjorkdale No. 426,15.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,851.0,6.5,1438.66,0.6,Sask.
Black River 9,40.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,698.0,-28.7,9.23,53.9,Man.
Black River-Matheson,150.0,140.0,125.0,55.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,15.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2572.0,2438.0,5.5,1161.89,2.2,Ont.
Black Sturgeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,23.84,6.3,Man.
Blacks Harbour,205.0,160.0,40.0,75.0,15.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,894.0,1.5,9.02,100.6,N.B.
Blackville,97.5,70.0,82.5,12.5,30.0,23.45,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,2028.0,-1.6,823.93,2.4,N.B.
Bladworth,20.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,9.2,0.87,81.2,Sask.
Blaine Lake,55.0,50.0,0.0,35.0,20.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,499.0,2.0,1.86,272.9,Sask.
Blainville,4255.0,5495.0,2720.0,685.0,325.0,21.0,65.0,55.0,65.0,30.0,95.0,38.8,430.0,170.0,45.0,0.0,0.0,11.3,20.0,35.0,0.0,0.0,0.0,18.4,130.0,40.0,0.0,0.0,0.0,9.4,59819.0,56863.0,5.2,54.97,1088.2,Que.
Blanc-Sablon,320.0,0.0,0.0,0.0,15.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,1112.0,0.9,234.98,4.8,Que.
Blandford-Blenheim,300.0,350.0,165.0,30.0,10.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,7565.0,7399.0,2.2,382.03,19.8,Ont.
Blind Creek 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,1.58,16.5,B.C.
Blind River,665.0,225.0,70.0,45.0,35.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.7,3422.0,3472.0,-1.4,513.98,6.7,Ont.
Blissfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,451.0,8.9,1235.57,0.4,N.B.
Blissville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,819.0,-5.1,341.74,2.3,N.B.
Blood 148,140.0,335.0,225.0,140.0,45.0,27.9,0.0,0.0,0.0,10.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,26.0,4572.0,4570.0,0.0,1403.35,3.3,Alta.
Blood 148A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.83,0.0,Alta.
Bloodvein 12,55.0,10.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,687.0,-6.8,15.73,40.7,Man.
Blucher No. 343,155.0,340.0,305.0,140.0,40.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,1984.0,2006.0,-1.1,789.4,2.5,Sask.
Blue Sea,20.0,10.0,15.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,639.0,8.9,72.97,9.5,Que.
Blueberry River 205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,197.0,-26.4,13.13,11.0,B.C.
Bluewater,785.0,670.0,205.0,95.0,55.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,245.0,10.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,15.2,7540.0,7136.0,5.7,416.7,18.1,Ont.
Boileau,10.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,335.0,20.9,134.08,3.0,Que.
Bois-Franc,40.0,80.0,40.0,30.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,421.0,-2.4,71.56,5.7,Que.
Bois-des-Filion,745.0,975.0,470.0,105.0,50.0,20.6,20.0,15.0,30.0,0.0,30.0,38.0,90.0,20.0,15.0,0.0,0.0,13.3,15.0,0.0,0.0,0.0,0.0,12.8,40.0,0.0,10.0,0.0,0.0,13.2,10159.0,9636.0,5.4,4.36,2327.8,Que.
Boisbriand,2925.0,5720.0,2550.0,765.0,300.0,22.4,20.0,35.0,60.0,35.0,135.0,53.0,295.0,125.0,55.0,30.0,0.0,14.6,25.0,15.0,0.0,0.0,0.0,15.6,80.0,15.0,25.0,0.0,20.0,23.6,28308.0,26884.0,5.3,27.67,1022.9,Que.
Boischatel,335.0,285.0,100.0,10.0,10.0,15.7,0.0,0.0,0.0,0.0,10.0,0.0,30.0,15.0,0.0,0.0,0.0,12.2,10.0,0.0,0.0,0.0,0.0,6.4,15.0,0.0,0.0,0.0,0.0,4.4,8231.0,7587.0,8.5,20.36,404.3,Que.
Boissevain-Morton,300.0,155.0,65.0,15.0,15.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,125.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2309.0,2353.0,-1.9,1102.38,2.1,Man.
Bolton-Est,25.0,65.0,35.0,10.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1108.0,940.0,17.9,79.39,14.0,Que.
Bolton-Ouest,10.0,0.0,30.0,0.0,20.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,630.0,16.2,100.94,7.3,Que.
Bonaparte 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,121.0,31.4,7.06,22.5,B.C.
Bonaventure,1575.0,775.0,217.5,70.0,65.0,14.8,12.5,17.5,0.0,0.0,0.0,21.4,140.0,15.0,0.0,0.0,0.0,5.199999999999999,7.5,0.0,0.0,0.0,0.0,3.8,17.5,0.0,0.0,0.0,0.0,10.8,2733.0,2706.0,1.0,104.5,26.2,Que.
Bonavista,825.0,185.0,40.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.0,3448.0,-7.5,31.56,101.1,N.L.
Bondiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,110.0,12.7,1.18,105.5,Alta.
Bone Creek No. 108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,394.0,-8.1,834.81,0.4,Sask.
Bonne-Espérance,85.0,55.0,10.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,681.0,1.6,622.99,1.1,Que.
Bonnechere Valley,235.0,195.0,75.0,30.0,25.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3898.0,3674.0,6.1,588.36,6.6,Ont.
Bonnyville Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,84.0,-16.7,0.23,298.1,Alta.
Bonsecours,45.0,40.0,20.0,0.0,10.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,608.0,6.9,60.36,10.8,Que.
Boothroyd 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,B.C.
Boothroyd 8A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,B.C.
Borden,15.0,20.0,10.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,287.0,-2.1,0.73,384.7,Sask.
Borden-Carleton,170.0,260.0,120.0,45.0,25.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,724.0,8.8,12.94,60.9,P.E.I.
Boston Bar 1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,B.C.
Botsford,25.0,20.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1120.0,1058.0,5.9,304.62,3.7,N.B.
Botwood,415.0,100.0,30.0,15.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.4,2778.0,2875.0,-3.4,14.56,190.8,N.L.
Boucherville,4530.0,10690.0,5630.0,1555.0,925.0,24.2,50.0,245.0,330.0,355.0,575.0,48.4,535.0,190.0,40.0,25.0,0.0,12.1,10.0,15.0,0.0,0.0,0.0,18.5,105.0,50.0,30.0,0.0,0.0,13.0,41743.0,41671.0,0.2,71.02,587.8,Que.
Bouchette,25.0,20.0,10.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,731.0,-4.9,122.09,5.7,Que.
Bouctouche,705.0,380.0,115.0,40.0,20.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,5.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513.0,2361.0,6.4,18.33,137.1,N.B.
Bow Island,470.0,115.0,90.0,80.0,25.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.0,1983.0,2.7,5.68,358.5,Alta.
Bowden,65.0,75.0,0.0,15.0,10.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1280.0,1240.0,3.2,3.46,370.2,Alta.
Bowen Island,350.0,50.0,15.0,0.0,25.0,13.2,0.0,0.0,0.0,0.0,20.0,58.0,85.0,15.0,0.0,0.0,0.0,11.8,15.0,0.0,0.0,0.0,0.0,11.2,20.0,0.0,0.0,0.0,0.0,1.0,4256.0,3680.0,15.7,50.12,84.9,B.C.
Bowman,0.0,10.0,0.0,0.0,10.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0,658.0,1.4,126.4,5.3,Que.
Boyer 164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,218.0,-43.6,40.89,3.0,Alta.
Boyle,250.0,185.0,205.0,95.0,75.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,845.0,-2.4,7.12,115.9,Alta.
Bracebridge,2225.0,1660.0,845.0,250.0,200.0,19.3,0.0,0.0,0.0,0.0,10.0,76.0,195.0,50.0,20.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,10.0,15.0,27.2,17305.0,16010.0,8.1,615.2,28.1,Ont.
Bracken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.63,31.8,Sask.
Bradford West Gwillimbury,2600.0,1595.0,1500.0,455.0,390.0,22.6,15.0,15.0,0.0,0.0,30.0,52.0,250.0,90.0,55.0,0.0,10.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,110.0,20.0,25.0,0.0,15.0,15.1,42880.0,35325.0,21.4,200.68,213.7,Ont.
Bradwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,166.0,-1.2,0.42,394.2,Sask.
Brampton,21495.0,44845.0,25315.0,9490.0,8160.0,26.3,715.0,1780.0,2945.0,1660.0,3370.0,44.6,1870.0,1000.0,220.0,40.0,35.0,12.7,25.0,30.0,0.0,10.0,0.0,19.6,1970.0,750.0,490.0,135.0,135.0,16.1,656480.0,593638.0,10.6,265.89,2469.0,Ont.
Branch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,228.0,-22.4,16.18,10.9,N.L.
Bratt's Lake No. 129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,315.0,4.1,844.71,0.4,Sask.
Brazeau County,85.0,150.0,45.0,20.0,25.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.9,7179.0,7771.0,-7.6,3000.14,2.4,Alta.
Breadalbane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,167.0,1.8,12.67,13.4,P.E.I.
Bredenbury,10.0,0.0,15.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,372.0,3.8,4.61,83.7,Sask.
Brenda-Waskada,45.0,60.0,15.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,674.0,-3.6,775.64,0.8,Man.
Brent's Cove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,157.0,-24.2,1.02,116.4,N.L.
Breton,90.0,105.0,35.0,25.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,567.0,574.0,-1.2,1.72,329.9,Alta.
Bridge River 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,241.0,0.4,39.02,6.2,B.C.
Bridgewater,2415.0,1845.0,695.0,165.0,140.0,17.7,10.0,0.0,0.0,0.0,0.0,0.0,135.0,95.0,20.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0,0.0,10.0,8790.0,8532.0,3.0,13.63,644.9,N.S.
Briercrest,15.0,25.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,159.0,-2.5,0.69,226.3,Sask.
Brigham,60.0,135.0,45.0,0.0,20.0,23.5,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.0,2306.0,-1.0,86.92,26.3,Que.
Bright,115.0,135.0,65.0,10.0,10.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.0,3289.0,0.9,403.73,8.2,N.B.
Brighton,278.3333333333333,208.33333333333334,73.33333333333333,15.0,18.333333333333332,10.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,4.333333333333333,163.0,188.0,-13.300000000000002,2.26,72.2,N.L.
